feature,rf_importance,xgb_importance,avg_importance
trx_amt,0.1427165218841288,0.08470038,0.1137084525650369
is_business_hours,0.09262464778172086,0.11479648,0.10371056490414893
txn_multi_channel_recent,0.15001844982842577,0.055594817,0.10280663331617898
channel_ussd_api,0.04100992893487833,0.09398499,0.06749746012345265
mbar_year_of_birth,0.08768699145660726,0.023528537,0.05560776411913796
type_mobile_load,0.01482212923115022,0.090516515,0.05266932215365533
user_recipient_concentration_ratio_7d,0.0659934557675799,0.036976166,0.05148481091854375
txn_is_high_activity_3d,0.07083332995603994,0.03131803,0.05107568060373523
start_balance_log,0.0025427312286979385,0.09752695,0.05003484192650946
txn_amount_deviation_from_avg,0.05333547015096528,0.0241061,0.038720785176286014
user_channel_diversity_score_7d,0.04980470022201073,0.026143435,0.0379740678054071
user_avg_time_between_txns_7d,0.028103271543506395,0.038764603,0.03343393748974979
channel_payment_gateway,0.021463133498716192,0.044596214,0.03302967367305747
is_night,0.011650158650940724,0.044963162,0.02830666052165929
user_type_diversity_score_7d,0.033030226599372256,0.021629997,0.027330111598569566
user_unique_channels_7d,0.032847106894983755,0.020594006,0.02672055664963221
type_transfer_c2b,0.0027067045329783363,0.046406094,0.02455639925891032
channel_new_jc_app,0.030155988750561285,0.014914196,0.02253509236758163
channel_mobile_app,0.01376767131965512,0.029032672,0.021400171571876375
balance_change_pct,0.006227541551641008,0.030297518,0.018262529664065132
balance_change,0.016641888677643827,0.019250924,0.017946406222664857
channel_ussd,0.019668147366740503,0.0,0.009834073683370251
txn_min_amount_3d,0.008584081280008605,0.010358247,0.009471164127327826
is_unusual_hour,0.003330688341467833,0.0,0.0016653441707339164
txn_avg_amount_3d,0.00043503454957922105,0.0,0.00021751727478961052
hour_of_day,0.0,0.0,0.0
txn_max_amount_3d,0.0,0.0,0.0
type_transfer_c2c,0.0,0.0,0.0
