Table Name,Column Name
stixor_iar_jul_non_fraud_only,victim_year_mdob
stixor_iar_jul_non_fraud_only,victim_gmsisdn
stixor_iar_jul_non_fraud_only,victim_trust_level
stixor_iar_jul_non_fraud_only,fraudster_a_c_reference
stixor_iar_jul_non_fraud_only,fraudster_region
stixor_iar_jul_non_fraud_only,fraudster_city
stixor_iar_jul_non_fraud_only,fraudster_registered_channel
stixor_iar_jul_non_fraud_only,fraudster_a_c_status
stixor_iar_jul_non_fraud_only,fraudster_a_c_level
stixor_iar_jul_non_fraud_only,fraudster_agent_group
stixor_iar_jul_non_fraud_only,fraudster_limit_group
stixor_iar_jul_non_fraud_only,fraudster_charge_profile
stixor_iar_jul_non_fraud_only,fraudster_credit_dl_ml_yl
stixor_iar_jul_non_fraud_only,fraudster_debit_dl_ml_yl
stixor_iar_jul_non_fraud_only,fraudster_place_of_birth
stixor_iar_jul_non_fraud_only,fraudster_account_type_name
stixor_iar_jul_non_fraud_only,fraudster_mpin_status
stixor_iar_jul_non_fraud_only,fraudster_filer
stixor_iar_jul_non_fraud_only,fraudster_prov
stixor_iar_jul_non_fraud_only,fraudster_year_mdob
stixor_iar_jul_non_fraud_only,fraudster_gmsisdn
stixor_iar_jul_non_fraud_only,fraudster_trust_level
stixor_iar_jul_non_fraud_only,trans_id
stixor_iar_jul_non_fraud_only,customer_msisdn
stixor_iar_jul_non_fraud_only,trx_channel
stixor_iar_jul_non_fraud_only,trx_type
stixor_iar_jul_non_fraud_only,trx_status
stixor_iar_jul_non_fraud_only,ac_from
stixor_iar_jul_non_fraud_only,ac_to
stixor_iar_jul_non_fraud_only,utility_company
stixor_iar_jul_non_fraud_only,bill_ref_number
stixor_iar_jul_non_fraud_only,reason_type
stixor_iar_jul_non_fraud_only,pur_of_remit
stixor_iar_jul_non_fraud_only,ec
stixor_iar_jul_non_fraud_only,merchant_id
stixor_iar_jul_non_fraud_only,victim_a_c_reference
stixor_iar_jul_non_fraud_only,victim_region
stixor_iar_jul_non_fraud_only,victim_city
stixor_iar_jul_fraud_only_with_mbar,created_datetime
stixor_iar_jul_fraud_only_with_mbar,from_registered_date_time
stixor_iar_jul_fraud_only_with_mbar,to_year_of_birth
stixor_iar_jul_fraud_only_with_mbar,to_last_modified_date_time
stixor_iar_jul_fraud_only_with_mbar,to_dormant_date
stixor_iar_jul_fraud_only_with_mbar,to_re_active_date
stixor_iar_jul_fraud_only_with_mbar,start_balance
stixor_iar_jul_fraud_only_with_mbar,trx_amt
stixor_iar_jul_fraud_only_with_mbar,end_balance
stixor_iar_jul_fraud_only_with_mbar,from_year_of_birth
stixor_iar_jul_fraud_only_with_mbar,from_last_modified_date_time
stixor_iar_jul_fraud_only_with_mbar,from_dormant_date
stixor_iar_jul_fraud_only_with_mbar,from_re_active_date
stixor_iar_jul_fraud_only_with_mbar,resolved_datetime
stixor_iar_jul_fraud_only_with_mbar,to_registered_date_time
stixor_iar_jul_fraud_only_with_mbar,transaction_datetime
stixor_iar_jul_fraud_only_with_mbar,fee
stixor_iar_jul_fraud_only_with_mbar,fed
stixor_iar_jul_fraud_only_with_mbar,data_date
stixor_iar_jul_fraud_only_with_mbar,trans_initiate_time
stixor_iar_jul_fraud_only_with_mbar,trx_amount
stixor_iar_jul_fraud_only_with_mbar,is_fraud
