,fraud_flag,start_balance,trx_amt,hour_of_day,day_of_week,is_weekend,is_night,is_business_hours,is_unusual_hour,night_weekend_combo,start_balance_log,txn_total_amount_3d,txn_avg_amount_3d,txn_max_amount_3d,txn_min_amount_3d,txn_is_high_activity_3d,txn_multi_channel_recent,txn_amount_deviation_from_avg,channel_new_jc_app,channel_ussd,channel_ussd_api,channel_payment_gateway,channel_mobile_app,type_transfer_c2c,type_transfer_c2b,type_bill_payment,type_mobile_load,user_total_amount_3d,user_avg_amount_3d,user_median_amount_3d,user_max_amount_3d,user_min_amount_3d,user_total_amount_7d,user_avg_amount_7d,user_median_amount_7d,user_max_amount_7d,user_min_amount_7d,user_channel_diversity_score_7d,user_type_diversity_score_7d,user_avg_start_balance_7d,user_avg_end_balance_7d,user_min_balance_7d,user_max_balance_7d,user_balance_volatility_7d,user_avg_amount_per_recipient_7d,user_max_amount_to_single_recipient_7d,user_recipient_concentration_ratio_7d,user_avg_time_between_txns_7d,user_txn_frequency_score_7d
user_total_amount_3d,-0.0011806478675274127,0.14724782494994604,-0.003352045280257494,-0.00266407246507319,0.0037773482684117492,0.0006675901553727986,0.010127962967791775,-0.007599209010371395,0.007504517641550103,0.0022642209442243558,0.08994438252472739,0.028808806446573708,0.01139004317594047,0.02741252669508348,-0.00944858005843025,0.026110312087609402,0.07487981203253177,0.02654144711545406,-0.029974834483539922,-0.012273990581566212,-0.008882142447639484,0.012075320090559264,-0.012358128804118408,-0.022411535671180857,-0.009280390450056426,,-0.019684100618156872,1.0,0.6571162798548983,0.5038667920279032,0.7987905187847543,0.3199467924812285,0.8532854468880097,0.523809003637475,0.3911186548463959,0.6335615487131396,0.2128044319178154,0.061989663868581575,0.03938843047225456,0.523809003637475,0.5238089830889309,0.2128042710685799,0.6335613788147614,0.6030759136659548,0.5450177729551132,0.6335614908312173,0.012320401885994203,-0.025512286118598085,0.01245617153779554
user_avg_amount_3d,-0.0014442634400551042,0.2174277639426188,0.003990883601671958,0.0029126987787022993,0.006683381317083491,0.002447505060477839,0.00717331784358332,-0.006359392313962024,0.001687031783878857,0.0016424569708014273,0.13418651459583236,-0.011135746309854403,0.00675998220442623,-0.003249785721296858,0.006181969111944873,-0.03321130157275154,0.02015674977275801,0.10771713304166221,-0.04131163972130073,-0.00935759637051321,0.004314169125894372,-0.011637656048805884,-0.01530820736316564,-0.021206618124655834,-0.010898729351533588,,-0.02346507932659894,0.6571162798548983,1.0,0.9399107771870512,0.821768689624582,0.8343255119695504,0.5507821830536319,0.7896709495861144,0.7146089803208339,0.651056486894819,0.57479303102127,0.044307479078436456,0.010965604356476429,0.7896709495861144,0.7896710076570254,0.5747925368086659,0.6510562073792294,0.5284051300117867,0.7785900307553433,0.6510565249542712,0.036557622749220094,0.007322957758470308,-0.01657929873986901
user_median_amount_3d,-0.001227649758896934,0.21242865754120943,0.006334120682408678,0.0036834356919996304,0.00442950525109603,0.002111757984759325,0.005137973126265264,-0.005338855299144791,0.00013073449407491957,0.0017193380352206159,0.1319641628234573,-0.018935868539885915,0.0021079873729952766,-0.013388223030119856,0.009481011861975945,-0.036536935687498405,-0.011284810908039674,0.11254561871255062,-0.03924661605297929,-0.007383558975972321,0.007744519937825433,-0.019024070496096973,-0.013587369954238527,-0.01748901526006765,-0.010955201721621339,,-0.02068072257481777,0.5038667920279032,0.9399107771870512,1.0,0.63306102197699,0.868889614452295,0.41379097419144295,0.7416504817948595,0.7491065989371328,0.5030572522691833,0.5991647271106415,0.026924045574439854,-0.0033454008949111227,0.7416504817948595,0.741650557004798,0.599164168661874,0.5030569496927525,0.3578376829417747,0.7161415661337093,0.503057325636319,0.04525196847335484,0.016517570744360607,-0.019794225822320835
user_max_amount_3d,-0.0015786877660241164,0.1709712821075665,-0.002059459605234593,-0.0036038392446641246,0.008443073245308413,0.0037813116891473814,0.01407397698397459,-0.008854745181518653,0.009335643186782086,0.0034232077057765875,0.09504125145307518,0.01956594567215273,0.014532348231086253,0.025368993307503477,-0.005702669562799408,0.007304374765857083,0.10051147840208802,0.057131846542725906,-0.03860607473319082,-0.012771491013560333,-0.005041416746222483,0.018958564478693502,-0.01434734875304805,-0.025566616608018743,-0.009026500984889529,,-0.023654076444492404,0.7987905187847543,0.821768689624582,0.63306102197699,1.0,0.469002932330292,0.6985049375851613,0.6578846312228055,0.4789377153857392,0.7956052737710615,0.32227283046557653,0.0791417848495542,0.048143847601890825,0.6578846312228055,0.6578846068025181,0.3222724899950486,0.7956051665947881,0.7406738072114137,0.6829137496157119,0.7956052459971216,0.005159718072694576,-0.02176165645400029,0.007180566164071275
user_min_amount_3d,-0.0010231970648363444,0.19271070450731204,0.0025919588330854766,0.0055666528240308705,0.004824746870075555,0.002192706930934389,0.0013913473087948615,-0.003703467275530973,-0.002695088054023569,0.0009456117125764541,0.13337081918137053,-0.0224895065072974,-0.005695914506942779,-0.023603272636974412,0.013583362856642444,-0.03173832858838129,-0.05793049232741707,0.13573788770464362,-0.04120989382963436,-0.007513413889682286,0.005721937107630806,-0.01613688791270876,-0.014109614771965023,-0.0178503638218716,-0.014510353217763405,,-0.021020323602158802,0.3199467924812285,0.8343255119695504,0.868889614452295,0.469002932330292,1.0,0.2591492099735182,0.6589096434363653,0.6776989039183121,0.3694982598555655,0.6886787855902199,0.009144760144621976,-0.018199901708108368,0.6589096434363653,0.6589097442396874,0.6886786139071167,0.36949800843755426,0.15792034051385262,0.613515534318758,0.36949836375379735,0.050488500054216214,0.024565871352545485,-0.018498452511910325
user_total_amount_7d,-0.0014884089341044373,0.1696273708636812,-0.006308553695443961,-0.003517041474235531,0.002674120016619421,0.0032344263203187983,0.009583544735482823,-0.006620058664252317,0.00842176590373509,0.0025368088320180944,0.09427129366338084,0.03145979025570251,0.009244778703098838,0.02750715433402361,-0.011118208775197135,0.03351780393596972,0.07680559939303885,0.017489341031844373,-0.03346275922770732,-0.01397760908986089,-0.01134345998709975,0.017940750058014536,-0.014913053207316264,-0.026752549523749662,-0.010228400179565843,,-0.022341817660054258,0.8532854468880097,0.5507821830536319,0.41379097419144295,0.6985049375851613,0.2591492099735182,1.0,0.5980887330490804,0.41873006669200324,0.7818502289900439,0.23772082475681858,0.08297032706491411,0.05520732722953032,0.5980887330490804,0.5980886754939534,0.23772067969020616,0.781850103279408,0.7336804533714337,0.615943471187224,0.7818501684283485,0.006885497379769085,-0.02000263119855216,0.014704939650077232
user_avg_amount_7d,-0.001737780957774194,0.2683284971588872,0.0010647608645444231,0.004923041559596156,0.003355569638349629,0.004083711792279781,0.00396774828542794,-0.004625002426825277,0.00039595587970593594,0.0026814962494053907,0.15270756571736863,-0.0183241817798257,-0.0029226748584186306,-0.014062228083780711,0.0006265867774047725,-0.040929935296244425,0.0020613814510112237,0.08897054298773716,-0.0479641484945245,-0.008835947516464151,0.007436207521534186,-0.016246381449847087,-0.017889796923641958,-0.028201085973828876,-0.00749848246732422,,-0.025994027866232516,0.523809003637475,0.7896709495861144,0.7416504817948595,0.6578846312228055,0.6589096434363653,0.5980887330490804,1.0,0.9239150632386327,0.764068496126251,0.8150854518496723,0.0445781785168235,0.0029690937905887563,1.0,0.9999999990939973,0.8150848326714757,0.7640681732871596,0.5641720906129828,0.9731627880097861,0.764068557409924,0.049742667655655194,0.05435210305199657,-0.025275998546792466
user_median_amount_7d,-0.001349487849527357,0.2574874654158658,0.003765511460388519,0.00526263929049006,0.0013158796315981324,0.002488317947721117,0.002860376905544225,-0.004020745714605396,-0.0006389009175632259,0.0037046987598075747,0.15147925105388685,-0.024716664959722755,-0.00860947557455011,-0.024790051490979022,0.004085619025449828,-0.0409516106167288,-0.030680690739726506,0.09249872949900831,-0.04682292155064605,-0.006367132136310534,0.011452706125878212,-0.023058544034440485,-0.015646501250818068,-0.024828108796028855,-0.008615970342816125,,-0.02229046145158385,0.3911186548463959,0.7146089803208339,0.7491065989371328,0.4789377153857392,0.6776989039183121,0.41873006669200324,0.9239150632386327,1.0,0.5336201588304256,0.8518043578097048,0.015096149570779609,-0.020614728697487737,0.9239150632386325,0.9239151201886278,0.851803645978619,0.5336198149692111,0.29291969026418696,0.8699110254912761,0.5336202550587024,0.06473024963880569,0.06627129288942629,-0.026181112909003094
user_max_amount_7d,-0.0020699573802380575,0.19446658692496324,-0.007432584161689997,-0.0020375667818684044,0.004323536577854918,0.005048181468150765,0.012400484651041616,-0.008061001909041712,0.009228475607889424,0.003999408712955164,0.09939451903845213,0.02066450510188621,0.00876068006099981,0.021575984481759045,-0.010585517548944172,0.017528155588083502,0.09457072239108504,0.0435494391853664,-0.04598638234640413,-0.014261885184277711,-0.007049523359677681,0.028972332076200116,-0.01771502205886757,-0.0328696966096812,-0.008770486537286912,,-0.027698552189430205,0.6335615487131396,0.651056486894819,0.5030572522691833,0.7956052737710615,0.3694982598555655,0.7818502289900439,0.764068496126251,0.5336201588304256,1.0,0.38917832549009895,0.10887156538089272,0.06898945017287848,0.764068496126251,0.7640683211531424,0.3891779955159183,0.9999999998181934,0.9056722038893114,0.7908236831360089,0.9999999991667167,-0.0029152011376318474,-0.006017469553935316,0.00958990483574004
user_min_amount_7d,-0.0010611593024755113,0.2290571256226137,0.00038618465913585557,0.007128098550475399,0.0015481250219963687,0.0019281753530051295,-0.0021926294575135134,-0.0005629179697404831,-0.0046619349752533715,0.0023652846243174975,0.14445009299361436,-0.02547008530189788,-0.015179929206250055,-0.030497840466647705,0.004281507082180257,-0.03379118778163796,-0.06027577752502671,0.10728977886355513,-0.045566314415632185,-0.006695441497285098,0.006113665229016381,-0.017885200738078536,-0.014333409187769333,-0.02277029481771289,-0.012309118868856177,,-0.020302249639730357,0.2128044319178154,0.57479303102127,0.5991647271106415,0.32227283046557653,0.6886787855902199,0.23772082475681858,0.8150854518496723,0.8518043578097048,0.38917832549009895,1.0,-0.007942682351306237,-0.03907148545391922,0.8150854518496724,0.8150854742078535,0.9999999992908751,0.3891780194835002,0.038913608791816295,0.7430685098691566,0.38917842855570306,0.06750200083008222,0.07285830120483798,-0.02233111657383559
